科目番号,科目名,,単位数,,,,,,,,,,,,,,,
2125173,基礎体育テニス(秋),,0.5,,,,,,,,,,,,,,,
2130123,基礎体育トリム運動(春),,0.5,,,,,,,,,,,,,,,
2130133,基礎体育トリム運動(秋),,0.5,,,,,,,,,,,,,,,
2130163,基礎体育トリム運動(春),,0.5,,,,,,,,,,,,,,,
2130173,基礎体育トリム運動(秋),,0.5,,,,,,,,,,,,,,,
2130183,基礎体育トリム運動(春),,0.5,,,,,,,,,,,,,,,
2130193,基礎体育トリム運動(秋),,0.5,,,,,,,,,,,,,,,
2133143,基礎体育ニュースポーツ(春),,0.5,,,,,,,,,,,,,,,
2133153,基礎体育ニュースポーツ(秋),,0.5,,,,,,,,,,,,,,,
2133163,基礎体育ニュースポーツ(春),,0.5,,,,,,,,,,,,,,,
2133173,基礎体育ニュースポーツ(秋),,0.5,,,,,,,,,,,,,,,
2133183,基礎体育ニュースポーツ(春),,0.5,,,,,,,,,,,,,,,
2133193,基礎体育ニュースポーツ(秋),,0.5,,,,,,,,,,,,,,,
2134123,基礎体育バスケットボール(春),,0.5,,,,,,,,,,,,,,,
2134133,基礎体育バスケットボール(秋),,0.5,,,,,,,,,,,,,,,
2134143,基礎体育バスケットボール(春),,0.5,,,,,,,,,,,,,,,
2134153,基礎体育バスケットボール(秋),,0.5,,,,,,,,,,,,,,,
2135123,基礎体育バドミントン(春),,0.5,,,,,,,,,,,,,,,
2135133,基礎体育バドミントン(秋),,0.5,,,,,,,,,,,,,,,
2135143,基礎体育バドミントン(春),,0.5,,,,,,,,,,,,,,,
2135153,基礎体育バドミントン(秋),,0.5,,,,,,,,,,,,,,,
2136163,基礎体育バレーボール(春),,0.5,,,,,,,,,,,,,,,
2136173,基礎体育バレーボール(秋),,0.5,,,,,,,,,,,,,,,
2136183,基礎体育バレーボール(春),,0.5,,,,,,,,,,,,,,,
2136193,基礎体育バレーボール(秋),,0.5,,,,,,,,,,,,,,,
2137123,基礎体育ハンドボール(春),,0.5,,,,,,,,,,,,,,,
2137133,基礎体育ハンドボール(秋),,0.5,,,,,,,,,,,,,,,
2137143,基礎体育ハンドボール(春),,0.5,,,,,,,,,,,,,,,
2137153,基礎体育ハンドボール(秋),,0.5,,,,,,,,,,,,,,,
2137183,基礎体育ハンドボール(春),,0.5,,,,,,,,,,,,,,,
2137193,基礎体育ハンドボール(秋),,0.5,,,,,,,,,,,,,,,
2140123,基礎体育フィットネストレーニング(春),,0.5,,,,,,,,,,,,,,,
2140133,基礎体育フィットネストレーニング(秋),,0.5,,,,,,,,,,,,,,,
2140143,基礎体育フィットネストレーニング(春),,0.5,,,,,,,,,,,,,,,
2140153,基礎体育フィットネストレーニング(秋),,0.5,,,,,,,,,,,,,,,
2140163,基礎体育フィットネストレーニング(春),,0.5,,,,,,,,,,,,,,,
2140173,基礎体育フィットネストレーニング(秋),,0.5,,,,,,,,,,,,,,,
2141123,基礎体育フラッグフットボール(春),,0.5,,,,,,,,,,,,,,,
2141133,基礎体育フラッグフットボール(秋),,0.5,,,,,,,,,,,,,,,
2143163,基礎体育ボディ・ワーク(春),,0.5,,,,,,,,,,,,,,,
2143173,基礎体育ボディ・ワーク(秋),,0.5,,,,,,,,,,,,,,,
2145143,基礎体育野外運動(春),,0.5,,,,,,,,,,,,,,,
2145153,基礎体育野外運動(秋),,0.5,,,,,,,,,,,,,,,
2148163,基礎体育リフレッシュ体操(春),,0.5,,,,,,,,,,,,,,,
2148173,基礎体育リフレッシュ体操(秋),,0.5,,,,,,,,,,,,,,,
2152123,基礎体育トラック&フィールド(春),,0.5,,,,,,,,,,,,,,,
2152133,基礎体育トラック&フィールド(秋),,0.5,,,,,,,,,,,,,,,
2152143,基礎体育トラック&フィールド(春),,0.5,,,,,,,,,,,,,,,
2152153,基礎体育トラック&フィールド(秋),,0.5,,,,,,,,,,,,,,,
2152183,基礎体育トラック&フィールド(春),,0.5,,,,,,,,,,,,,,,
2152193,基礎体育トラック&フィールド(秋),,0.5,,,,,,,,,,,,,,,
2158123,基礎体育アスレティックトレーニング(春),,0.5,,,,,,,,,,,,,,,
2158133,基礎体育アスレティックトレーニング(秋),,0.5,,,,,,,,,,,,,,,
2158143,基礎体育アスレティックトレーニング（春）,,0.5,,,,,,,,,,,,,,,
2158153,基礎体育アスレティックトレーニング（秋）,,0.5,,,,,,,,,,,,,,,
2161403,"Basic Physical Education(Online,Fall)",,0.5,,,,,,,,,,,,,,,
21MY013,基礎体育,,1.0,,,,,,,,,,,,,,,
2207243,応用体育空手(春),,0.5,,,,,,,,,,,,,,,
2207253,応用体育空手(秋),,0.5,,,,,,,,,,,,,,,
2208223,応用体育器械運動(春),,0.5,,,,,,,,,,,,,,,
2208233,応用体育器械運動(秋),,0.5,,,,,,,,,,,,,,,
2211203,応用体育剣道(春),,0.5,,,,,,,,,,,,,,,
2211213,応用体育剣道(秋),,0.5,,,,,,,,,,,,,,,
2211243,応用体育剣道(春),,0.5,,,,,,,,,,,,,,,
2211253,応用体育剣道(秋),,0.5,,,,,,,,,,,,,,,
2211263,応用体育剣道(春),,0.5,,,,,,,,,,,,,,,
2211273,応用体育剣道(秋),,0.5,,,,,,,,,,,,,,,
2212203,応用体育ゴルフ(春),,0.5,,,,,,,,,,,,,,,
2212213,応用体育ゴルフ(秋),,0.5,,,,,,,,,,,,,,,
2212243,応用体育ゴルフ(春),,0.5,,,,,,,,,,,,,,,
2212253,応用体育ゴルフ(秋),,0.5,,,,,,,,,,,,,,,
2213203,応用体育サッカー(春),,0.5,,,,,,,,,,,,,,,
2213213,応用体育サッカー(秋),,0.5,,,,,,,,,,,,,,,
2213263,応用体育サッカー(春),,0.5,,,,,,,,,,,,,,,
2213273,応用体育サッカー(秋),,0.5,,,,,,,,,,,,,,,
2214203,応用体育シューティングスポーツ(春),,0.5,,,,,,,,,,,,,,,
2214213,応用体育シューティングスポーツ(秋),,0.5,,,,,,,,,,,,,,,
2214243,応用体育シューティングスポーツ(春),,0.5,,,,,,,,,,,,,,,
2214253,応用体育シューティングスポーツ(秋),,0.5,,,,,,,,,,,,,,,
2214263,応用体育シューティングスポーツ(春),,0.5,,,,,,,,,,,,,,,
2214273,応用体育シューティングスポーツ(秋),,0.5,,,,,,,,,,,,,,,
2215223,応用体育柔道(春),,0.5,,,,,,,,,,,,,,,
2215233,応用体育柔道(秋),,0.5,,,,,,,,,,,,,,,
2215243,応用体育柔道(春),,0.5,,,,,,,,,,,,,,,
2215253,応用体育柔道(秋),,0.5,,,,,,,,,,,,,,,
2215263,応用体育柔道(春),,0.5,,,,,,,,,,,,,,,
2215273,応用体育柔道(秋),,0.5,,,,,,,,,,,,,,,
2216263,応用体育ジョグ&ウォーク(春),,0.5,,,,,,,,,,,,,,,
2216273,応用体育ジョグ&ウォーク(秋),,0.5,,,,,,,,,,,,,,,
2217203,応用体育水泳(春),,0.5,,,,,,,,,,,,,,,
2217213,応用体育水泳(秋),,0.5,,,,,,,,,,,,,,,
2217223,応用体育水泳(春),,0.5,,,,,,,,,,,,,,,
2217233,応用体育水泳(秋),,0.5,,,,,,,,,,,,,,,
2217263,応用体育水泳(春),,0.5,,,,,,,,,,,,,,,
2217273,応用体育水泳(秋),,0.5,,,,,,,,,,,,,,,
2221203,応用体育ソフトボール(春),,0.5,,,,,,,,,,,,,,,
2221213,応用体育ソフトボール(秋),,0.5,,,,,,,,,,,,,,,
2221223,応用体育ソフトボール(春),,0.5,,,,,,,,,,,,,,,
2221233,応用体育ソフトボール(秋),,0.5,,,,,,,,,,,,,,,
2221243,応用体育ソフトボール(春),,0.5,,,,,,,,,,,,,,,
2221253,応用体育ソフトボール(秋),,0.5,,,,,,,,,,,,,,,
2221263,応用体育ソフトボール(春),,0.5,,,,,,,,,,,,,,,
2221273,応用体育ソフトボール(秋),,0.5,,,,,,,,,,,,,,,
2222203,応用体育卓球(春),,0.5,,,,,,,,,,,,,,,
2222213,応用体育卓球(秋),,0.5,,,,,,,,,,,,,,,
2222223,応用体育卓球(春),,0.5,,,,,,,,,,,,,,,
2222233,応用体育卓球(秋),,0.5,,,,,,,,,,,,,,,
2222243,応用体育卓球(春),,0.5,,,,,,,,,,,,,,,
2222253,応用体育卓球(秋),,0.5,,,,,,,,,,,,,,,
2223223,応用体育ダンス(春),,0.5,,,,,,,,,,,,,,,
2223233,応用体育ダンス(秋),,0.5,,,,,,,,,,,,,,,
2223243,応用体育ダンス(春),,0.5,,,,,,,,,,,,,,,
2223253,応用体育ダンス(秋),,0.5,,,,,,,,,,,,,,,
2223263,応用体育ダンス(春),,0.5,,,,,,,,,,,,,,,
2223273,応用体育ダンス(秋),,0.5,,,,,,,,,,,,,,,
2225203,応用体育テニス(春),,0.5,,,,,,,,,,,,,,,
2225213,応用体育テニス(秋),,0.5,,,,,,,,,,,,,,,
2225223,応用体育テニス(春),,0.5,,,,,,,,,,,,,,,
2225233,応用体育テニス(秋),,0.5,,,,,,,,,,,,,,,
2225243,応用体育テニス(春),,0.5,,,,,,,,,,,,,,,
2225253,応用体育テニス(秋),,0.5,,,,,,,,,,,,,,,
2225263,応用体育テニス(春),,0.5,,,,,,,,,,,,,,,
2225273,応用体育テニス(秋),,0.5,,,,,,,,,,,,,,,
2230203,応用体育トリム運動(春),,0.5,,,,,,,,,,,,,,,
2230213,応用体育トリム運動(秋),,0.5,,,,,,,,,,,,,,,
2230223,応用体育トリム運動(春),,0.5,,,,,,,,,,,,,,,
2230233,応用体育トリム運動(秋),,0.5,,,,,,,,,,,,,,,
2230243,応用体育トリム運動(春),,0.5,,,,,,,,,,,,,,,
2230253,応用体育トリム運動(秋),,0.5,,,,,,,,,,,,,,,
2230263,応用体育トリム運動(春),,0.5,,,,,,,,,,,,,,,
2230273,応用体育トリム運動(秋),,0.5,,,,,,,,,,,,,,,
2233203,応用体育ニュースポーツ(春),,0.5,,,,,,,,,,,,,,,
2233213,応用体育ニュースポーツ(秋),,0.5,,,,,,,,,,,,,,,
2233223,応用体育ニュースポーツ(春),,0.5,,,,,,,,,,,,,,,
2233233,応用体育ニュースポーツ(秋),,0.5,,,,,,,,,,,,,,,
2234243,応用体育バスケットボール(春),,0.5,,,,,,,,,,,,,,,
2234253,応用体育バスケットボール(秋),,0.5,,,,,,,,,,,,,,,
2234263,応用体育バスケットボール(春),,0.5,,,,,,,,,,,,,,,
2234273,応用体育バスケットボール(秋),,0.5,,,,,,,,,,,,,,,
2235203,応用体育バドミントン(春),,0.5,,,,,,,,,,,,,,,
2235213,応用体育バドミントン(秋),,0.5,,,,,,,,,,,,,,,
2235263,応用体育バドミントン(春),,0.5,,,,,,,,,,,,,,,
2235273,応用体育バドミントン(秋),,0.5,,,,,,,,,,,,,,,
2236223,応用体育バレーボール(春),,0.5,,,,,,,,,,,,,,,
2236233,応用体育バレーボール(秋),,0.5,,,,,,,,,,,,,,,
2236243,応用体育バレーボール(春),,0.5,,,,,,,,,,,,,,,
2236253,応用体育バレーボール(秋),,0.5,,,,,,,,,,,,,,,
2237203,応用体育ハンドボール(春),,0.5,,,,,,,,,,,,,,,
2237213,応用体育ハンドボール(秋),,0.5,,,,,,,,,,,,,,,
2237223,応用体育ハンドボール(春),,0.5,,,,,,,,,,,,,,,
2237233,応用体育ハンドボール(秋),,0.5,,,,,,,,,,,,,,,
2237243,応用体育ハンドボール(春),,0.5,,,,,,,,,,,,,,,
2237253,応用体育ハンドボール(秋),,0.5,,,,,,,,,,,,,,,
2240203,応用体育フィットネストレーニング(春),,0.5,,,,,,,,,,,,,,,
2240213,応用体育フィットネストレーニング(秋),,0.5,,,,,,,,,,,,,,,
2240223,応用体育フィットネストレーニング(春),,0.5,,,,,,,,,,,,,,,
2240233,応用体育フィットネストレーニング(秋),,0.5,,,,,,,,,,,,,,,
2240263,応用体育フィットネストレーニング(春),,0.5,,,,,,,,,,,,,,,
2240273,応用体育フィットネストレーニング(秋),,0.5,,,,,,,,,,,,,,,
2241203,応用体育フラッグフットボール(春),,0.5,,,,,,,,,,,,,,,
2241213,応用体育フラッグフットボール(秋),,0.5,,,,,,,,,,,,,,,
2241223,応用体育フラッグフットボール(春),,0.5,,,,,,,,,,,,,,,
2241233,応用体育フラッグフットボール(秋),,0.5,,,,,,,,,,,,,,,
2241263,応用体育フラッグフットボール(春),,0.5,,,,,,,,,,,,,,,
2241273,応用体育フラッグフットボール(秋),,0.5,,,,,,,,,,,,,,,
2243243,応用体育ボディ・ワーク(春),,0.5,,,,,,,,,,,,,,,
2243253,応用体育ボディ・ワーク(秋),,0.5,,,,,,,,,,,,,,,
2245203,応用体育野外運動(春),,0.5,,,,,,,,,,,,,,,
2245213,応用体育野外運動(秋),,0.5,,,,,,,,,,,,,,,
2245223,応用体育野外運動(春),,0.5,,,,,,,,,,,,,,,
2245233,応用体育野外運動(秋),,0.5,,,,,,,,,,,,,,,
2248243,応用体育リフレッシュ体操(春),,0.5,,,,,,,,,,,,,,,
2248253,応用体育リフレッシュ体操(秋),,0.5,,,,,,,,,,,,,,,
2248263,応用体育リフレッシュ体操(春),,0.5,,,,,,,,,,,,,,,
2248273,応用体育リフレッシュ体操(秋),,0.5,,,,,,,,,,,,,,,
2261343,"Applied Physical Education(Online,Spring)",,0.5,,,,,,,,,,,,,,,
2261353,"Applied Physical Education(Online,Fall)",,0.5,,,,,,,,,,,,,,,
2261363,"Applied Physical Education(Online,Spring)",,0.5,,,,,,,,,,,,,,,
2261373,"Applied Physical Education(Online,Fall)",,0.5,,,,,,,,,,,,,,,
2261383,"Applied Physical Education(Online,Spring)",,0.5,,,,,,,,,,,,,,,
2261393,"Applied Physical Education(Online,Fall)",,0.5,,,,,,,,,,,,,,,
2313283,発展体育サッカー(春),,0.5,,,,,,,,,,,,,,,
2313293,発展体育サッカー(秋),,0.5,,,,,,,,,,,,,,,
2313303,発展体育サッカー(春),,0.5,,,,,,,,,,,,,,,
2313313,発展体育サッカー(秋),,0.5,,,,,,,,,,,,,,,
2314283,発展体育シューティングスポーツ(春),,1.0,,,,,,,,,,,,,,,
2316313,発展体育ジョグ&ウォーク(秋),,1.0,,,,,,,,,,,,,,,
2321283,発展体育ソフトボール(春),,0.5,,,,,,,,,,,,,,,
2321293,発展体育ソフトボール(秋),,0.5,,,,,,,,,,,,,,,
2321303,発展体育ソフトボール(春),,0.5,,,,,,,,,,,,,,,
2321313,発展体育ソフトボール(秋),,0.5,,,,,,,,,,,,,,,
2322283,発展体育卓球(春),,0.5,,,,,,,,,,,,,,,
2322293,発展体育卓球(秋),,0.5,,,,,,,,,,,,,,,
2323283,発展体育ダンス(春),,0.5,,,,,,,,,,,,,,,
2323293,発展体育ダンス(秋),,0.5,,,,,,,,,,,,,,,
2323303,発展体育ダンス(春),,0.5,,,,,,,,,,,,,,,
2323313,発展体育ダンス(秋),,0.5,,,,,,,,,,,,,,,
2325303,発展体育テニス(春),,0.5,,,,,,,,,,,,,,,
2325313,発展体育テニス(秋),,0.5,,,,,,,,,,,,,,,
2329293,発展体育トラック&フィールド(秋),,1.0,,,,,,,,,,,,,,,
2330283,発展体育トリム運動(春),,0.5,,,,,,,,,,,,,,,
2330293,発展体育トリム運動(秋),,0.5,,,,,,,,,,,,,,,
2330303,発展体育トリム運動(春),,0.5,,,,,,,,,,,,,,,
2330313,発展体育トリム運動(秋),,0.5,,,,,,,,,,,,,,,
2340283,発展体育フィットネストレーニング(春),,0.5,,,,,,,,,,,,,,,
2340293,発展体育フィットネストレーニング(秋),,0.5,,,,,,,,,,,,,,,
2340303,発展体育フィットネストレーニング(春),,0.5,,,,,,,,,,,,,,,
2340313,発展体育フィットネストレーニング(秋),,0.5,,,,,,,,,,,,,,,
2341303,発展体育フラッグフットボール(春),,1.0,,,,,,,,,,,,,,,
2352303,発展体育トラック&フィールド(春),,0.5,,,,,,,,,,,,,,,
2352313,発展体育トラック&フィールド(秋),,0.5,,,,,,,,,,,,,,,
2505373,ウェルネス・スポーツ,,0.5,,,,,,,,,,,,,,,
2600283,合気道,,0.5,,,,,,,,,,,,,,,
2600303,合気道,,0.5,,,,,,,,,,,,,,,
2601283,アーチェリー,,0.5,,,,,,,,,,,,,,,
2601303,アーチェリー,,0.5,,,,,,,,,,,,,,,
2603283,インラインスケート,,0.5,,,,,,,,,,,,,,,
2603303,インラインスケート,,0.5,,,,,,,,,,,,,,,
2604283,ウィンドサーフィン,,1.0,,,,,,,,,,,,,,,
2604303,ウィンドサーフィン,,1.0,,,,,,,,,,,,,,,
2606283,ウォールクライミング,,0.5,,,,,,,,,,,,,,,
2606303,ウォールクライミング,,0.5,,,,,,,,,,,,,,,
2609283,キャンピング,,1.0,,,,,,,,,,,,,,,
2609303,キャンピング,,1.0,,,,,,,,,,,,,,,
2619293,スノースポーツ,,1.0,,,,,,,,,,,,,,,
2619313,スノースポーツ,,1.0,,,,,,,,,,,,,,,
2628283,東洋的心身鍛練法,,0.5,,,,,,,,,,,,,,,
2628303,東洋的心身鍛練法,,0.5,,,,,,,,,,,,,,,
2642283,ボウリング,,0.5,,,,,,,,,,,,,,,
2642303,ボウリング,,0.5,,,,,,,,,,,,,,,
2644283,マリンスポーツ,,1.0,,,,,,,,,,,,,,,
2644303,マリンスポーツ,,1.0,,,,,,,,,,,,,,,
2800343,合気道,,0.5,,,,,,,,,,,,,,,
2802351,アメリカンフットボール(講義),,1.0,,,,,,,,,,,,,,,
2803343,インラインスケート,,0.5,,,,,,,,,,,,,,,
2804343,ウィンドサーフィン,,1.0,,,,,,,,,,,,,,,
2806343,ウォールクライミング,,0.5,,,,,,,,,,,,,,,
2809343,キャンピング,,1.0,,,,,,,,,,,,,,,
2819353,スノースポーツ,,1.0,,,,,,,,,,,,,,,
2820392,スポーツケア,,2.0,,,,,,,,,,,,,,,
2824343,つくばマラソン(春),,0.5,,,,,,,,,,,,,,,
2824353,つくばマラソン(秋),,0.5,,,,,,,,,,,,,,,
2828343,東洋的心身鍛練法,,0.5,,,,,,,,,,,,,,,
2842343,ボウリング,,0.5,,,,,,,,,,,,,,,
2844343,マリンスポーツ,,1.0,,,,,,,,,,,,,,,
2847342,ランニングの世界,,1.0,,,,,,,,,,,,,,,
2850342,つくばマラソン中級(春),,0.5,,,,,,,,,,,,,,,
2850352,つくばマラソン中級(秋),,0.5,,,,,,,,,,,,,,,
2857343,ポタツーリング,,0.5,,,,,,,,,,,,,,,
2859352,ラグビー精神と文化,,1.0,,,,,,,,,,,,,,,
3187012,TOEFL Practice I,,1.0,,,,,,,,,,,,,,,
3187022,TOEFL Practice I,,1.0,,,,,,,,,,,,,,,
3187032,TOEFL Practice II,,1.0,,,,,,,,,,,,,,,
3187042,TOEFL Practice II,,1.0,,,,,,,,,,,,,,,
3187912,TOEFL Academic English I,,1.0,,,,,,,,,,,,,,,
3187922,TOEFL Academic English I,,1.0,,,,,,,,,,,,,,,
3187952,TOEFL Academic English II,,1.0,,,,,,,,,,,,,,,
3187962,TOEFL Academic English II,,1.0,,,,,,,,,,,,,,,
3188112,English Academic Writing,,1.0,,,,,,,,,,,,,,,
3188122,English Academic Writing,,1.0,,,,,,,,,,,,,,,
3188132,English Academic Writing,,1.0,,,,,,,,,,,,,,,
3188142,English Academic Writing,,1.0,,,,,,,,,,,,,,,
3188152,English Academic Writing,,1.0,,,,,,,,,,,,,,,
3188162,English Academic Writing,,1.0,,,,,,,,,,,,,,,
3188172,English Academic Writing,,1.0,,,,,,,,,,,,,,,
3188182,English Academic Writing,,1.0,,,,,,,,,,,,,,,
3188192,English Academic Writing,,1.0,,,,,,,,,,,,,,,
3188202,English Academic Writing,,1.0,,,,,,,,,,,,,,,
3188212,English Academic Writing,,1.0,,,,,,,,,,,,,,,
3188222,English Academic Writing,,1.0,,,,,,,,,,,,,,,
3188232,English Academic Writing,,1.0,,,,,,,,,,,,,,,
3188242,English Academic Writing,,1.0,,,,,,,,,,,,,,,
3188312,English Academic Presentation,,1.0,,,,,,,,,,,,,,,
3188322,English Academic Presentation,,1.0,,,,,,,,,,,,,,,
3188332,English Academic Presentation,,1.0,,,,,,,,,,,,,,,
3188342,English Academic Presentation,,1.0,,,,,,,,,,,,,,,
3188352,English Academic Presentation,,1.0,,,,,,,,,,,,,,,
3188362,English Academic Presentation,,1.0,,,,,,,,,,,,,,,
3188372,English Academic Presentation,,1.0,,,,,,,,,,,,,,,
3188382,English Academic Presentation,,1.0,,,,,,,,,,,,,,,
3188392,English Academic Presentation,,1.0,,,,,,,,,,,,,,,
3188402,English Academic Presentation,,1.0,,,,,,,,,,,,,,,
3188412,English Academic Presentation,,1.0,,,,,,,,,,,,,,,
3188422,English Academic Presentation,,1.0,,,,,,,,,,,,,,,
3188512,English Academic Reading,,1.0,,,,,,,,,,,,,,,
3188522,English Academic Reading,,1.0,,,,,,,,,,,,,,,
3188532,English Academic Reading,,1.0,,,,,,,,,,,,,,,
3188542,English Academic Reading,,1.0,,,,,,,,,,,,,,,
3188552,English Academic Reading,,1.0,,,,,,,,,,,,,,,
3188562,English Academic Reading,,1.0,,,,,,,,,,,,,,,
3188572,English Academic Reading,,1.0,,,,,,,,,,,,,,,
3188582,English Academic Reading,,1.0,,,,,,,,,,,,,,,
3188592,English Academic Reading,,1.0,,,,,,,,,,,,,,,
3188602,English Academic Reading,,1.0,,,,,,,,,,,,,,,
3188612,English Academic Reading,,1.0,,,,,,,,,,,,,,,
3188622,English Academic Reading,,1.0,,,,,,,,,,,,,,,
3188732,English Test-Taking Practice,,1.0,,,,,,,,,,,,,,,
3188752,English Test-Taking Practice,,1.0,,,,,,,,,,,,,,,
3188812,English Test-Taking Practice,,1.0,,,,,,,,,,,,,,,
31HA012,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HA022,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HA032,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HA042,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HA052,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HA062,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HA072,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HA082,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HA092,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HA102,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HA112,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HA122,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HB012,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HB022,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HB032,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HB042,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HB052,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HB062,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HB072,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HB082,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HB092,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HB102,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HB112,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HB122,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HC012,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HC022,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HC032,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HC042,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HC052,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HC062,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HC072,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HC082,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HC092,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HC102,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HC112,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HC122,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HE012,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HE022,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HE032,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HE042,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HE052,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HE062,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HE072,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HE082,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HE092,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HE102,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HE112,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HE122,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HF012,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HF022,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HF032,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HF042,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HF052,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HF062,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HF072,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HF082,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HF092,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HF102,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HF112,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HF122,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HG012,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HG022,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HG032,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HG042,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HG052,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HG062,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HG072,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HG082,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HG092,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HG102,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HG112,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HG122,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HH012,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HH022,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31HH032,English Reading Skills I,,1.0,,,,,,,,,,,,,,,
31JA012,English Presentation Skills I,,1.0,,,,,,,,,,,,,,,
31JA022,English Presentation Skills I,,1.0,,,,,,,,,,,,,,,
31JA032,English Presentation Skills I,,1.0,,,,,,,,,,,,,,,
31JA042,English Presentation Skills I,,1.0,,,,,,,,,,,,,,,
31JA052,English Presentation Skills I,,1.0,,,,,,,,,,,,,,,
31JA062,English Presentation Skills I,,1.0,,,,,,,,,,,,,,,
31JA072,English Presentation Skills I,,1.0,,,,,,,,,,,,,,,
31JA082,English Presentation Skills I,,1.0,,,,,,,,,,,,,,,
31JA092,English Presentation Skills I,,1.0,,,,,,,,,,,,,,,
31JA102,English Presentation Skills I,,1.0,,,,,,,,,,,,,,,
31JA112,English Presentation Skills I,,1.0,,,,,,,,,,,,,,,
31JA122,English Presentation Skills I,,1.0,,,,,,,,,,,,,,,
31JB012,English Presentation Skills I,,1.0,,,,,,,,,,,,,,,
31JB022,English Presentation Skills I,,1.0,,,,,,,,,,,,,,,
31JB032,English Presentation Skills I,,1.0,,,,,,,,,,,,,,,
31JB042,English Presentation Skills I,,1.0,,,,,,,,,,,,,,,
